post_title,post_name,post_excerpt,post_content,post_status,manage_stock,comment_status,regular_price,featured_image,product_gallery
Aji Nameko,Aji-Nameko,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Aji-Nameko-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Aji-Nameko-copy.png
Aka Kai 21 25,Aka-Kai-21-25,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Aka-Kai-21-25-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Aka-Kai-21-25-copy.png
Aka Kappa,Aka-Kappa,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Aka-Kappa-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Aka-Kappa-copy.png
Ama Ebi  1,Ama-Ebi--1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ama-Ebi--1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ama-Ebi--1-copy.png
Ama Ebi Size 4L,Ama-Ebi-Size-4L,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ama-Ebi-Size-4L-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ama-Ebi-Size-4L-copy.png
Ama Ebi,Ama-Ebi,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ama-Ebi-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ama-Ebi-copy.png
Anago fillet with head,Anago-fillet-with-head,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Anago-fillet-with-head-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Anago-fillet-with-head-copy.png
Ao Kappa,Ao-Kappa,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,100,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ao-Kappa-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ao-Kappa-copy.png
Arabiki Sausage,Arabiki-Sausage,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Arabiki-Sausage-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Arabiki-Sausage-copy.png
Black Bean  1,Black-Bean--1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Black-Bean--1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Black-Bean--1-copy.png
Black Bean 1,Black-Bean-1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Black-Bean-1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Black-Bean-1-copy.png
Boiled Ankimo 1,Boiled-Ankimo-1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Boiled-Ankimo-1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Boiled-Ankimo-1-copy.png
Boiled Ankimo 2,Boiled-Ankimo-2,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Boiled-Ankimo-2-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Boiled-Ankimo-2-copy.png
Boiled Ankimo,Boiled-Ankimo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Boiled-Ankimo-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Boiled-Ankimo-copy.png
Boiled Hotate,Boiled-Hotate,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Boiled-Hotate-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Boiled-Hotate-copy.png
Botan Ebi  1,Botan-Ebi--1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Botan-Ebi--1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Botan-Ebi--1-copy.png
